春秋	左傳
左傳	隱公
惠公	元妃
元妃	孟子
孟子	卒
繼室	以
以	聲子
生	隱公
宋武公	生
生	仲子
仲子	生
生	而
而	有
有	文
文	在
在	其
其	手
曰	爲
爲	魯夫人
故	仲子
仲子	歸
歸	于
于	我
生	桓公
桓公	而
而	惠公
惠公	薨
是	以
以	隱公
隱公	立
立	而
而	奉
奉	之
元年	春
王周	正月
不	書
書	卽位
攝	也
公	及
及	邾儀父
邾儀父	盟
盟	于
于	蔑
邾子	克
克	也
未	王命
故	不
不	書
書	爵
貴	之
之	也
公	攝位
攝位	而
而	欲
欲	求好
求好	於
於	邾
故	爲
爲	蔑
蔑	之
之	盟
夏	四月
費伯	帥
帥	師
師	城
城	郎
不	書
非	公命
公命	也
鄭武公	娶
娶	于
于	申
曰	武姜
生	莊公
莊公	及
及	共叔段
莊公	寤生
驚	姜氏
故	名
名	曰
曰	寤生
遂	惡
惡	之
愛	共叔段
欲	立
立	之
亟	請
請	於
於	武公
公	弗
弗	許
及	莊公
莊公	卽位
爲	之
之	請
請	制
公	曰
巖	邑
邑	也
虢叔	死
死	焉
佗	邑
邑	唯
唯	命
請	京
使	居
居	之
謂	之
之	京城大叔
祭仲	曰
都	城
城	過
過	百
百	雉
國	之
之	害
害	也
先王	之
之	制
大	都
不	過
過	參
參	國
國	之
之	一
五	之
之	一
九	之
之	一
今	京
京	不
不	度
非	制
制	也
君	將
將	不
不	堪
公	曰
姜氏	欲
欲	之
焉	辟
辟	害
對	曰
姜氏	何
何	厭
厭	之
之	有
不如	早
早	爲
爲	之
之	所
無	使
使	滋蔓
難	圖
圖	也
蔓草	猶
猶	不
不	可
可	除
況	君
君	之
之	寵弟
寵弟	乎
公	曰
多	行
行	不義
必	自斃
子	姑
姑	待
待	之
旣	而
而	大叔
大叔	命
命	西鄙
北鄙	貳
貳	於
於	己
公子吕	曰
國	不
不	堪
堪	貳
君	將
將	若
若	之
之	何
欲	與
與	大叔
臣	請
請	事
事	之
若	弗
弗	與
則	請
請	除
除	之
無	生
生	民心
公	曰
無	庸
將	自及
大叔	又
又	收
收	貳
貳	以
以	爲
爲	己
己	邑
至	於
於	廪延
子封	曰
可	矣
厚	將
將	得
得	衆
公	曰
厚	將
將	崩
大叔	完
完	聚
繕	甲
甲	兵
具	卒
卒	乘
將	襲
襲	鄭
夫人	將
將	啟
啟	之
公	聞
聞	其
其	期
可	矣
命	子封
子封	帥
帥	車
車	二百
二百	乘
乘	以
以	伐
伐	京
京	叛
叛	大叔段
段	入
入	於
於	鄢
公	伐
伐	諸
諸	鄢
五月	辛丑
大叔	出奔
出奔	共
書	曰
鄭伯	克
克	段
段	于
于	鄢
段	不
不	弟
故	不
不	言
言	弟
如	二
二	君
故	曰
曰	克
稱	鄭伯
譏	失
失	教
教	也
謂	之
之	鄭志
不	言
言	出奔
難	之
之	也
遂	寘
寘	姜氏
姜氏	于
于	城潁
而	誓
誓	之
之	曰
不	及
及	黃泉
無	相見
相見	也
旣而	悔
悔	之
潁考叔	爲
爲	潁谷
潁谷	封人
聞	之
有	獻
獻	於
於	公
公	賜
賜	之
之	食
食	舍
舍	肉
公	問
問	之
對	曰
小人	有
有	母
皆	嘗
嘗	小人
小人	之
之	食
食	矣
未	嘗
嘗	君
君	之
之	羹
請	以
以	遺
遺	之
公	曰
爾	有
有	母
